model_id,architecture,objective,tier,gallery_size,queries,online_mean_ms,online_median_ms,online_std_ms,online_p95_ms,online_min_ms,online_max_ms,online_qps,index_mean_ms,index_median_ms,index_p95_ms,index_graphs_per_second,checkpoint,checkpoint_sha256
v2_no_ged_15t,V2,InfoNCE,15,322,300,4.959387666666667,4.90915,0.9453665028606224,7.531315,3.4935,9.0231,201.6377962790164,42.51746000000001,42.6041,43.62688,7573.359274048825,artifacts/campaign_v4/results/legr_directed_toolname_no_ged_15t_s42/best_model.pt,33c8cb3416a43cfb756cbdfaff8bf08330eca35d02713205671b687895976c34
v2_ged_15t,V2,InfoNCE+GED,15,322,300,5.714671,5.05005,1.326296879009946,7.94853,3.4262,11.0133,174.98820142051923,41.73309999999999,41.2383,44.43538,7715.698090963769,artifacts/campaign_v4/results/legr_directed_toolname_ged_15t_s42/best_model.pt,2ff4e9aafce5f35d6d33c787e669a5161a8a9f94bbb8402d8a9ab3ff9f0135bf
v3_no_ged_15t,V3,InfoNCE,15,322,300,5.488230222222222,5.00345,1.3887605511576009,8.15867,3.5973,11.3265,182.20809978978855,103.14156,103.7087,108.09836,3121.9229183657876,artifacts/campaign_v4/results/legr_setgnn_tied_no_ged_15t_s42/best_model.pt,6027a4df479bd30137f97e6eb26278b05bab9adbb61ad4e57b5354bb8e7f727a
v3_ged_15t,V3,InfoNCE+GED,15,322,300,4.705401888888889,4.78355,0.741464815093002,5.685299999999995,3.3756,8.5442,212.52169817021417,95.40351999999999,94.4895,98.25466,3375.137521131296,artifacts/campaign_v4/results/legr_setgnn_tied_ged_15t_s42/best_model.pt,2813b0b0d8629d7c7350723291c311a65ca4a3625085dd70efb822d834c77199
v2_no_ged_30t,V2,InfoNCE,30,455,420,4.580675079365078,4.75,0.5131436318036084,5.0985,3.4179,8.3876,218.3084332928955,57.236760000000004,57.0699,58.25076,7949.436690686195,artifacts/campaign_v4/results/legr_directed_toolname_no_ged_30t_s42/best_model.pt,e373e5899d34721ea8d07c0998f8e2604e90b4d3625d19db5ac1e99118d0bf52
v2_ged_30t,V2,InfoNCE+GED,30,455,420,4.943790634920635,5.00145,0.6535829361904596,6.29746,3.4861,7.9866,202.27393792456857,60.83888,58.4838,67.18068,7478.770154874645,artifacts/campaign_v4/results/legr_directed_toolname_ged_30t_s42/best_model.pt,f4ea73846ddd9e1fbf64559d777b9b382e00f4f8356669e084d84bd8247d47ac
v3_no_ged_30t,V3,InfoNCE,30,455,420,5.281414126984127,4.8549500000000005,1.3512742801274167,7.933815,3.4331,10.2954,189.3432281499643,144.99192,145.5907,154.11486,3138.105902728925,artifacts/legr_model_search/v3_scale/legr_setgnn_tied_no_ged_30t_s42/best_model.pt,2c48261892598de52a5c7fe57d9ce73ecfa73ec21bdb341f7aeb158894db256e
v3_ged_30t,V3,InfoNCE+GED,30,455,420,4.920945,4.85465,0.783018374479449,6.398145,3.4798,7.4731,203.2130007549363,158.55653999999998,154.4897,172.09356,2869.638805185835,artifacts/campaign_v4/results/legr_setgnn_tied_ged_30t_s42/best_model.pt,e478d4f918eb4408dfd41471f5440deea47858f33f32cbcd47e4d2e3df870588
v2_no_ged_45t,V2,InfoNCE,45,650,600,5.203879500000001,4.93655,1.213220503642179,8.148345,3.4442,10.3292,192.16432663362013,85.52926,85.8408,88.27664,7599.738381929179,artifacts/campaign_v4/results/legr_directed_toolname_no_ged_45t_s42/best_model.pt,f5167b1f49c58a490d56d792503eb8e4042b3c7cbda05228fc408184503a4924
v2_ged_45t,V2,InfoNCE+GED,45,650,600,4.9272285,4.816649999999999,1.0081168708684525,7.281199999999999,3.3862,9.3417,202.95385123705952,84.6763,83.1965,90.23586,7676.291949459294,artifacts/campaign_v4/results/legr_directed_toolname_ged_45t_s42/best_model.pt,04321a0cf8ee382883afda46a374d2afc951430f4f76beb5c1de2f26cb949f11
v3_no_ged_45t,V3,InfoNCE,45,650,600,5.386325722222223,4.9928,1.2091458031446838,7.90567,3.4638,11.2815,185.65531525030622,212.26026000000002,209.7176,222.18124,3062.278355826003,artifacts/legr_model_search/v3_scale/legr_setgnn_tied_no_ged_45t_s42/best_model.pt,616b98cc7da7c3d064ec94877f9c0b70650ba0de696cec46e68f571b64b0906e
v3_ged_45t,V3,InfoNCE+GED,45,650,600,5.005546722222222,4.85075,0.9839359798768406,7.01684,3.3533,9.7845,199.7783769673911,230.33108,231.8351,233.80312,2822.024713295314,artifacts/campaign_v4/results/legr_setgnn_tied_ged_45t_s42/best_model.pt,81e37a2e99ade7efe0d1f01f7a72799636ddcf45657bb6244a4ef76a3f2d5796
