gallery_index,dag_id,tools,num_nodes,action_label,semantic_label,tsne_x,tsne_y,action_silhouette,semantic_silhouette,action_knn_purity,semantic_knn_purity,pca_x,pca_y
0,379,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,-3.3541367,6.858299,-0.057787098,0.045705475,0.8,0.4,0.067088164,0.027215468
1,380,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,-2.3799672,5.4872684,-0.06227611,0.024295727,0.4,0.2,0.0425433,0.25063968
2,381,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,15.067542,7.049721,-0.054944377,0.018756146,0.4,0.4,-0.02866676,0.22444388
3,382,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,1.0144066,7.1235075,-0.012950322,0.062101655,1.0,0.6,0.051741168,0.24183252
4,383,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,-0.8848308,5.702412,-0.030754864,-0.037435386,1.0,1.0,0.095600545,0.14878754
5,384,read_access_logs;check_service_status;route_task_by_condition;write_database_record,4,Data Retrieval,Mixed,11.118238,12.524111,-0.1249603,0.00017198776,0.8,0.8,0.555166,-0.033261716
6,385,read_access_logs;check_service_status;route_task_by_condition;write_database_record,4,Data Retrieval,Mixed,11.507814,14.14367,-0.052804016,-0.04681659,1.0,1.0,0.56207997,0.048123304
7,386,read_access_logs;check_service_status;route_task_by_condition;write_database_record,4,Data Retrieval,Mixed,13.930202,3.3141768,-0.128142,-0.025051707,1.0,0.4,0.33395392,0.104884885
8,387,read_access_logs;check_service_status;route_task_by_condition;write_database_record,4,Data Retrieval,Mixed,12.830526,11.055244,-0.05726195,-0.030772995,1.0,0.8,0.5233346,0.11279211
9,388,read_access_logs;check_service_status;route_task_by_condition;write_database_record,4,Data Retrieval,Mixed,12.248915,12.263207,-0.043643866,-0.032602686,1.0,1.0,0.6412572,0.009494415
20,399,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,4,State Modification,Data & Access Management,-3.3104532,2.347523,0.051345654,0.16165495,0.8,0.8,-0.12445865,0.17249204
21,400,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,4,State Modification,Data & Access Management,-4.593441,2.3240507,0.012558619,0.1425441,0.8,0.6,-0.11277325,0.3048909
22,401,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,4,State Modification,Data & Access Management,14.430206,6.7892776,-0.01618074,0.09841969,0.4,0.6,-0.07466076,0.2666525
23,402,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,4,State Modification,Data & Access Management,-4.3776364,3.5477877,0.0315491,0.18162185,0.8,0.6,-0.09651375,0.31523693
24,403,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,4,State Modification,Data & Access Management,-2.7037764,2.9560084,-0.02040579,0.14916241,1.0,1.0,0.04229592,0.25476402
25,404,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,4,Data Retrieval,Data & Access Management,7.8414173,0.38665563,0.0569647,0.19333899,0.4,0.6,0.22689101,-0.2799767
26,405,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,4,Data Retrieval,Data & Access Management,-4.114931,-2.4885645,-0.03511626,0.15178785,0.4,0.6,0.09838757,0.13581291
27,406,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,4,Data Retrieval,Data & Access Management,11.609096,2.5627234,-0.028566878,0.13557386,1.0,0.6,0.18115406,0.036287416
28,407,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,4,Data Retrieval,Data & Access Management,9.952344,1.9407233,-0.053427417,0.122194126,0.6,0.6,0.26206303,0.023878202
29,408,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,4,Data Retrieval,Data & Access Management,8.818814,0.3851552,0.0800292,0.20093739,0.6,0.8,0.32599252,-0.23944758
30,409,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,4,Data Retrieval,Account & Subscription,-3.14555,14.491559,0.0020869542,0.14801186,0.6,0.4,0.2397721,-0.18436399
31,410,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,4,Data Retrieval,Account & Subscription,-3.7688494,11.715062,-0.04742517,0.1400112,0.8,0.6,0.27264118,0.1517188
32,411,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,4,Data Retrieval,Account & Subscription,-5.3410864,13.986174,-0.09264984,0.15600984,1.0,1.0,0.18175086,-0.011475873
33,412,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,4,Data Retrieval,Account & Subscription,-4.9752636,12.840709,-0.059979055,0.13182092,0.8,0.8,0.15593852,0.14538327
34,413,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,4,Data Retrieval,Account & Subscription,-3.3952212,13.933674,0.037629224,0.14631033,0.6,0.6,0.3213453,-0.121495895
35,414,route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,4,State Modification,Mixed,-10.762675,10.999153,-0.33491102,-0.008084227,0.8,0.8,0.21673422,0.28996488
36,415,route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,4,State Modification,Mixed,-9.906278,8.553265,-0.3266647,0.014950367,1.0,1.0,0.12866938,0.5458268
37,416,route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,4,State Modification,Mixed,-7.7353697,9.876516,-0.25036934,0.024039945,0.8,0.8,0.1095717,0.44005966
38,417,route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,4,State Modification,Mixed,-9.408156,9.873899,-0.33761778,0.027218176,0.6,0.6,0.14698483,0.5627657
39,418,route_task_by_condition;read_subscription_status;update_subscription_plan;restart_service,4,State Modification,Mixed,-9.784509,10.915245,-0.33985302,0.0004742495,0.8,0.8,0.34699953,0.41816816
48,427,escalate_case_to_human;restart_service;check_service_status;read_database_record,4,Data Retrieval,Mixed,7.7825265,-3.568338,-0.108136825,-0.094320394,1.0,0.8,0.1417861,0.115372226
49,428,escalate_case_to_human;restart_service;check_service_status;read_database_record,4,Data Retrieval,Mixed,9.274865,-4.3256617,-0.042807445,-0.09733816,0.8,0.8,0.20759726,0.28717908
50,429,escalate_case_to_human;restart_service;check_service_status;read_database_record,4,Data Retrieval,Mixed,15.291073,3.1480486,-0.07349425,-0.10422182,0.6,0.6,0.090017155,0.23303668
51,430,escalate_case_to_human;restart_service;check_service_status;read_database_record,4,Data Retrieval,Mixed,9.42991,-2.5580916,-0.10216784,-0.10307505,1.0,0.8,0.1838868,0.33187678
52,431,escalate_case_to_human;restart_service;check_service_status;read_database_record,4,Data Retrieval,Mixed,8.358977,-3.4909906,-0.049009673,-0.060636137,0.6,0.6,0.3074558,0.112899974
53,432,create_support_ticket;dispatch_message_to_usergroup;read_subscription_status;restart_service,4,State Modification,Mixed,7.79161,2.898873,-0.03443353,-0.01867614,1.0,0.8,0.019055534,0.24999975
54,433,create_support_ticket;dispatch_message_to_usergroup;read_subscription_status;restart_service,4,State Modification,Mixed,-5.1525097,-3.6999521,0.04204749,-0.0215795,0.8,0.4,-0.15366821,0.5087215
55,434,create_support_ticket;dispatch_message_to_usergroup;read_subscription_status;restart_service,4,State Modification,Mixed,10.427515,4.978969,-0.0091967685,-0.028915541,0.8,0.6,-0.032822054,0.4059464
56,435,create_support_ticket;dispatch_message_to_usergroup;read_subscription_status;restart_service,4,State Modification,Mixed,8.512392,4.515364,-0.1092852,0.017180102,0.6,0.6,0.06294537,0.4636228
57,436,create_support_ticket;dispatch_message_to_usergroup;read_subscription_status;restart_service,4,State Modification,Mixed,8.080009,3.5333915,-0.10836503,-0.01565496,0.8,0.6,0.11833773,0.3281636
58,437,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,6.4214783,12.766914,0.5090451,0.05177765,0.4,0.4,0.23862799,0.16726148
59,438,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,7.5031695,14.761563,0.47638348,0.020934204,0.2,0.2,0.3330687,0.3990997
60,439,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,12.141633,7.6342115,0.40828583,0.06782635,0.4,0.4,0.28669173,0.2291448
61,440,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,5.4911275,10.408065,0.46698955,0.045079295,0.4,0.4,0.28320876,0.28934652
62,441,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,6.3879614,12.016641,0.56935966,0.010878273,0.8,0.8,0.38343492,0.3574529
63,442,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,5.378269,-18.409157,0.06562235,0.0738626,0.8,0.8,-0.22052105,-0.5960557
64,443,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,3.3884668,-19.42664,-0.012990274,0.06294061,0.8,0.6,-0.31524765,-0.25250426
65,444,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,4.311495,-18.673658,0.011788944,0.059285555,0.8,0.8,-0.29795954,-0.34347236
66,445,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,5.5123806,-19.961319,0.034763873,0.037307892,0.8,0.8,-0.2828748,-0.44376138
67,446,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,5.7332425,-18.915367,0.07727769,0.08511816,0.8,0.8,-0.12955736,-0.51121354
78,457,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,20.338436,-0.753234,0.010501217,0.082423225,1.0,0.8,-0.14927012,-0.21718684
79,458,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,21.181513,0.92961746,-0.008673452,0.12342484,0.8,0.8,-0.078891434,0.10136053
80,459,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,19.094013,1.6761541,-0.06948236,0.09937384,0.6,0.4,-0.019365862,-0.10317876
81,460,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,19.749584,0.98432595,0.009530909,0.10123503,1.0,1.0,-0.14748432,0.019623157
82,461,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,20.544558,-0.7111089,0.0017601156,0.09438306,1.0,0.8,-0.03919123,-0.19861633
83,462,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-13.758498,-10.251292,0.008218038,0.112443,0.4,1.0,-0.3216756,-0.32573044
84,463,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-13.282508,-12.410778,0.034237076,0.09023986,0.4,0.8,-0.33349305,-0.10291079
85,464,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,16.611544,2.9365554,-0.0012793968,0.10292902,0.2,0.6,-0.26334766,-0.070205
86,465,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-14.746646,-11.443026,0.0070860847,0.113330774,0.2,1.0,-0.2661325,-0.03535054
87,466,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-14.738219,-10.009777,-0.074931905,0.08490206,0.2,1.0,-0.07495262,-0.35688534
88,467,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,-1.5529348,0.40293616,0.0904779,0.20689799,0.8,0.4,-0.29219055,-0.21819492
89,468,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,-4.77823,-1.5874462,0.091899075,0.18365347,0.8,0.4,-0.3308832,0.18634722
90,469,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,14.154919,5.9684443,0.03765401,0.15596305,0.4,0.6,-0.25896445,0.031485766
91,470,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,-3.1763911,0.23482923,0.12614655,0.16827649,0.8,0.8,-0.37086144,-0.00609163
92,471,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,-1.9083419,1.4986413,0.0012815332,0.25426626,0.8,1.0,-0.06559247,-0.11748697
