gallery_index,dag_id,tools,num_nodes,action_label,semantic_label,tsne_x,tsne_y,action_silhouette,semantic_silhouette,action_knn_purity,semantic_knn_purity,pca_x,pca_y
0,379,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,5.3305254,-4.4167905,-0.057787098,0.045705475,0.8,0.4,0.15935773,0.10087162
1,380,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,7.085448,7.151024,-0.06227611,0.024295727,0.4,0.2,0.15509488,-0.11296585
2,381,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,10.016463,-2.4570735,-0.054944377,0.018756146,0.4,0.4,0.086121224,-0.019136861
3,382,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,8.441268,-6.388367,-0.012950322,0.062101655,1.0,0.6,0.112142585,-0.13878587
4,383,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,7.483355,-4.2867184,-0.030754864,-0.037435386,1.0,1.0,0.20735806,-0.049891546
10,389,restart_service;read_database_record;update_subscription_plan;check_service_status,4,Mixed,Service & Incident Operations,-1.4424937,-0.26086602,-0.025581947,-0.0007552122,1.0,1.0,-0.026815824,-0.53400666
11,390,restart_service;read_database_record;update_subscription_plan;check_service_status,4,Mixed,Service & Incident Operations,0.6709408,-2.070938,-0.022877295,-0.013192169,1.0,0.8,-0.04953985,-0.6103011
12,391,restart_service;read_database_record;update_subscription_plan;check_service_status,4,Mixed,Service & Incident Operations,-1.5395257,-1.8458413,-0.0883549,-0.01716231,0.8,0.8,-0.06496343,-0.64804953
13,392,restart_service;read_database_record;update_subscription_plan;check_service_status,4,Mixed,Service & Incident Operations,-0.62524503,-1.7710414,-0.029665051,0.031096572,0.8,0.8,0.041283477,-0.50233984
14,393,restart_service;read_database_record;update_subscription_plan;check_service_status,4,Mixed,Service & Incident Operations,-0.5583576,-0.5742121,0.01471456,0.016889356,0.6,0.6,0.007393882,-0.5865477
15,394,write_database_record;create_support_ticket;read_subscription_status;scan_system_for_malware,4,Mixed,Service & Incident Operations,-3.5701423,2.6279154,0.08011495,-0.0065055205,0.4,0.4,0.046252985,0.16059917
16,395,write_database_record;create_support_ticket;read_subscription_status;scan_system_for_malware,4,Mixed,Service & Incident Operations,6.76566,4.7426786,0.08357556,-0.038197175,0.6,0.2,0.09097889,0.002890647
17,396,write_database_record;create_support_ticket;read_subscription_status;scan_system_for_malware,4,Mixed,Service & Incident Operations,-5.782381,4.380611,0.10457207,0.073334485,0.6,0.8,-0.13006726,-0.024240835
18,397,write_database_record;create_support_ticket;read_subscription_status;scan_system_for_malware,4,Mixed,Service & Incident Operations,-4.416059,4.5704083,0.025094299,-0.063815966,0.4,0.4,0.17098327,-0.069216594
19,398,write_database_record;create_support_ticket;read_subscription_status;scan_system_for_malware,4,Mixed,Service & Incident Operations,-4.045863,3.325333,0.10327692,0.053138528,0.8,0.8,0.026424775,-0.004918538
20,399,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,4,State Modification,Data & Access Management,12.459739,1.2257768,0.051345654,0.16165495,0.8,0.8,0.32797474,0.37792754
21,400,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,4,State Modification,Data & Access Management,10.130233,2.5235395,0.012558619,0.1425441,0.8,0.6,0.33851486,0.2448002
22,401,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,4,State Modification,Data & Access Management,10.837307,-1.8578985,-0.01618074,0.09841969,0.4,0.6,0.26791778,0.20865273
23,402,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,4,State Modification,Data & Access Management,11.367531,2.815401,0.0315491,0.18162185,0.8,0.6,0.36465883,0.27373198
24,403,read_access_logs;update_subscription_plan;escalate_case_to_human;create_support_ticket,4,State Modification,Data & Access Management,12.082764,1.8538347,-0.02040579,0.14916241,1.0,1.0,0.3973199,0.17249198
25,404,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,4,Data Retrieval,Data & Access Management,-5.668331,-6.734749,0.0569647,0.19333899,0.4,0.6,0.17454125,0.15782675
26,405,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,4,Data Retrieval,Data & Access Management,-7.9970517,-8.176132,-0.03511626,0.15178785,0.4,0.6,0.19905235,0.035948828
27,406,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,4,Data Retrieval,Data & Access Management,-8.843609,-6.772919,-0.028566878,0.13557386,1.0,0.6,0.13012224,-0.0732382
28,407,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,4,Data Retrieval,Data & Access Management,-7.6931167,-6.5686445,-0.053427417,0.122194126,0.6,0.6,0.2895847,0.018766236
29,408,create_support_ticket;read_database_record;dispatch_message_to_usergroup;read_access_logs,4,Data Retrieval,Data & Access Management,-6.228284,-6.3248167,0.0800292,0.20093739,0.6,0.8,0.14832908,-0.10151272
30,409,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,4,Data Retrieval,Account & Subscription,5.4439554,-8.9861,0.0020869542,0.14801186,0.6,0.4,0.083442815,-0.3817422
31,410,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,4,Data Retrieval,Account & Subscription,6.378793,-10.277919,-0.04742517,0.1400112,0.8,0.6,0.18416394,-0.5515166
32,411,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,4,Data Retrieval,Account & Subscription,8.272049,-9.769502,-0.09264984,0.15600984,1.0,1.0,0.04031299,-0.4267425
33,412,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,4,Data Retrieval,Account & Subscription,7.4608197,-9.031265,-0.059979055,0.13182092,0.8,0.8,0.18345045,-0.4397107
34,413,read_subscription_status;read_database_record;update_subscription_plan;read_user_profile,4,Data Retrieval,Account & Subscription,5.974902,-8.977889,0.037629224,0.14631033,0.6,0.6,0.10820532,-0.5172365
40,419,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,4,Mixed,Service & Incident Operations,11.457437,5.5812087,-0.08619887,-0.08809861,0.8,0.8,0.17335194,0.56290525
41,420,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,4,Mixed,Service & Incident Operations,9.06976,5.236998,-0.04212038,-0.059278738,0.4,0.8,0.1882869,0.4010214
42,421,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,4,Mixed,Service & Incident Operations,10.745502,-1.5435271,-0.024878966,-0.06867332,0.4,0.4,0.17580375,0.38113263
43,422,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,4,Mixed,Service & Incident Operations,10.867094,4.1938295,-0.08788155,-0.11777377,0.8,0.8,0.26898864,0.45540068
44,423,route_task_by_condition;edit_username;escalate_case_to_human;create_support_ticket,4,Mixed,Service & Incident Operations,10.7585,5.9073462,-0.055312272,-0.083025955,0.6,0.6,0.14968124,0.41921416
45,424,check_service_status;read_database_record;update_subscription_plan;create_support_ticket,4,Mixed,Service & Incident Operations,-1.4619837,1.1895243,0.058216456,0.036172263,0.6,0.6,0.2865085,-0.16261394
46,425,check_service_status;read_database_record;update_subscription_plan;create_support_ticket,4,Mixed,Service & Incident Operations,5.664547,7.056805,0.04989379,0.07145715,0.8,0.8,0.27472967,-0.20823306
47,426,check_service_status;read_database_record;update_subscription_plan;create_support_ticket,4,Mixed,Service & Incident Operations,0.2591533,0.098159164,0.03691029,0.01338439,0.4,0.4,0.27909023,-0.28405082
58,437,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,12.943727,-7.5842466,0.5090451,0.05177765,0.4,0.4,0.2167929,-0.06029115
59,438,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,11.428251,-7.558125,0.47638348,0.020934204,0.2,0.2,0.30689055,-0.27863163
60,439,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,12.135264,-5.196855,0.40828583,0.06782635,0.4,0.4,0.22267117,-0.12544736
61,440,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,11.773739,-9.114309,0.46698955,0.045079295,0.4,0.4,0.24193367,-0.28113854
62,441,update_subscription_plan;dispatch_message_to_usergroup;read_database_record;route_task_by_condition,4,Orchestration,Account & Subscription,12.460866,-7.938227,0.56935966,0.010878273,0.8,0.8,0.34014902,-0.22465697
63,442,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,-15.318866,3.7936304,0.06562235,0.0738626,0.8,0.8,-0.59605557,0.20513897
64,443,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,-13.807102,3.4636035,-0.012990274,0.06294061,0.8,0.6,-0.5298289,0.0775402
65,444,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,-13.214297,4.673031,0.011788944,0.059285555,0.8,0.8,-0.61387646,0.07392957
66,445,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,-15.077644,5.359128,0.034763873,0.037307892,0.8,0.8,-0.5581245,0.24574335
67,446,dispatch_message_to_usergroup;read_user_profile;scan_system_for_malware;reset_user_password,4,Data Retrieval,Account & Subscription,-15.54015,4.3108435,0.07727769,0.08511816,0.8,0.8,-0.53800076,0.027575612
68,447,edit_username;restart_service;scan_system_for_malware;read_database_record,4,Mixed,Service & Incident Operations,-13.380095,9.4323015,0.025750833,0.10203982,0.6,1.0,-0.6697483,-0.12279678
69,448,edit_username;restart_service;scan_system_for_malware;read_database_record,4,Mixed,Service & Incident Operations,-14.915563,11.135071,-0.025860941,0.07187664,0.4,0.8,-0.65993255,-0.22973335
70,449,edit_username;restart_service;scan_system_for_malware;read_database_record,4,Mixed,Service & Incident Operations,-10.469197,4.649889,0.016108492,0.08927925,0.2,0.6,-0.56040627,-0.25431204
71,450,edit_username;restart_service;scan_system_for_malware;read_database_record,4,Mixed,Service & Incident Operations,-15.0784645,7.7048554,0.04568415,0.13777615,0.6,1.0,-0.63984215,-0.033718094
72,451,edit_username;restart_service;scan_system_for_malware;read_database_record,4,Mixed,Service & Incident Operations,-12.014695,9.865939,0.055022206,0.09112862,0.6,0.8,-0.55702955,-0.42188776
73,452,reset_user_password;restart_service;scan_system_for_malware;read_user_profile,4,Mixed,Service & Incident Operations,-12.759861,8.339047,-0.034834348,0.08609811,0.6,0.8,-0.73177105,0.011872387
74,453,reset_user_password;restart_service;scan_system_for_malware;read_user_profile,4,Mixed,Service & Incident Operations,-11.553506,7.4121222,-0.0721772,0.0795256,0.6,1.0,-0.76752865,-0.09160401
75,454,reset_user_password;restart_service;scan_system_for_malware;read_user_profile,4,Mixed,Service & Incident Operations,-12.298615,5.372369,-0.060704764,0.07330909,0.6,0.8,-0.78238064,-0.05133859
76,455,reset_user_password;restart_service;scan_system_for_malware;read_user_profile,4,Mixed,Service & Incident Operations,-14.255527,6.763802,-0.01830698,0.09840492,0.6,0.6,-0.7496327,0.076247804
77,456,reset_user_password;restart_service;scan_system_for_malware;read_user_profile,4,Mixed,Service & Incident Operations,-11.954943,8.946499,0.0074786847,0.10567368,1.0,1.0,-0.6868037,-0.23592444
78,457,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,-6.2610197,-11.641063,0.010501217,0.082423225,1.0,0.8,-0.07515934,0.18436241
79,458,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,-4.6584897,-10.880248,-0.008673452,0.12342484,0.8,0.8,0.069907025,0.048945032
80,459,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,-4.8827925,-12.889079,-0.06948236,0.09937384,0.6,0.4,-0.08718985,-0.056529053
81,460,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,-4.7825904,-12.114982,0.009530909,0.10123503,1.0,1.0,-0.0069836853,0.055985227
82,461,escalate_case_to_human;edit_username;write_database_record;read_database_record,4,State Modification,Data & Access Management,-6.2939057,-11.561813,0.0017601156,0.09438306,1.0,0.8,-0.045666732,0.033701494
83,462,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-13.659073,9.82544,0.008218038,0.112443,0.4,1.0,-0.64452076,0.058305364
84,463,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-14.94024,11.131548,0.034237076,0.09023986,0.4,0.8,-0.6359852,-0.12550095
85,464,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-10.528218,4.719874,-0.0012793968,0.10292902,0.2,0.6,-0.55219585,-0.16517365
86,465,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-15.892126,8.595697,0.0070860847,0.113330774,0.2,1.0,-0.59367234,-0.20154649
87,466,edit_username;scan_system_for_malware;restart_service;write_database_record,4,State Modification,Service & Incident Operations,-12.508383,10.601723,-0.074931905,0.08490206,0.2,1.0,-0.5571434,-0.13295132
88,467,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,14.372924,2.0763974,0.0904779,0.20689799,0.8,0.4,-0.018491173,0.49959692
89,468,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,8.804665,3.8461819,0.091899075,0.18365347,0.8,0.4,0.12917797,0.4221572
90,469,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,11.800513,-1.686802,0.03765401,0.15596305,0.4,0.6,0.030895717,0.38861325
91,470,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,13.620248,3.8684947,0.12614655,0.16827649,0.8,0.8,-0.05563643,0.41210815
92,471,create_support_ticket;read_access_logs;edit_username;escalate_case_to_human,4,State Modification,Data & Access Management,13.515942,2.4065173,0.0012815332,0.25426626,0.8,1.0,0.13217527,0.2920044
93,472,create_support_ticket;reset_user_password;restart_service;read_subscription_status,4,State Modification,Service & Incident Operations,3.376368,0.0397978,0.1199719,0.060513828,1.0,0.6,-0.22088039,0.09973429
94,473,create_support_ticket;reset_user_password;restart_service;read_subscription_status,4,State Modification,Service & Incident Operations,5.153291,0.9599569,0.17318407,0.025658945,1.0,0.0,-0.15550596,0.053140074
95,474,create_support_ticket;reset_user_password;restart_service;read_subscription_status,4,State Modification,Service & Incident Operations,6.2283688,-1.2069108,0.10165439,0.04455496,0.8,0.4,-0.15686621,-0.17061192
96,475,create_support_ticket;reset_user_password;restart_service;read_subscription_status,4,State Modification,Service & Incident Operations,4.6522727,-0.13017888,0.12923917,0.0749629,1.0,0.8,-0.22555877,-0.12117455
97,476,create_support_ticket;reset_user_password;restart_service;read_subscription_status,4,State Modification,Service & Incident Operations,3.515227,-0.63399214,0.095898874,0.045641832,0.8,0.8,-0.20863506,-0.12857458
103,482,write_database_record;edit_username;create_support_ticket;update_subscription_plan,4,State Modification,Account & Subscription,7.4307365,1.4130569,0.14919452,0.024375515,1.0,0.6,0.020687895,0.32849014
104,483,write_database_record;edit_username;create_support_ticket;update_subscription_plan,4,State Modification,Account & Subscription,7.2706814,3.8226783,0.10596108,0.01120091,0.6,0.4,0.10604692,0.10510978
105,484,write_database_record;edit_username;create_support_ticket;update_subscription_plan,4,State Modification,Account & Subscription,7.948259,-1.0797516,0.101578094,0.0027614061,0.8,0.6,0.016487258,0.043880578
106,485,write_database_record;edit_username;create_support_ticket;update_subscription_plan,4,State Modification,Account & Subscription,8.089216,0.3600679,0.13041247,-0.022154842,0.8,0.6,0.06711405,0.20322698
107,486,write_database_record;edit_username;create_support_ticket;update_subscription_plan,4,State Modification,Account & Subscription,7.9375167,1.6669558,0.1400967,0.010062845,0.6,0.6,0.0088500455,0.06934516
108,487,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,-4.8548074,0.7382664,-0.0066994126,0.07152585,0.8,0.4,-0.14680605,-0.24479683
109,488,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,-4.0120206,-0.82000864,0.09136353,-0.015385456,1.0,0.2,-0.0153058,-0.5966827
110,489,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,-8.440274,3.4042668,0.022545403,0.044701327,0.6,0.6,-0.17205858,-0.43820834
111,490,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,-6.747998,1.8754826,0.035973493,0.01921786,1.0,0.2,-0.06191665,-0.5466049
112,491,read_subscription_status;scan_system_for_malware;check_service_status;read_database_record,4,Data Retrieval,Service & Incident Operations,-5.514284,0.87102723,0.05303031,0.024428373,0.8,0.8,-0.13279791,-0.4273258
113,492,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,-2.779657,-5.5467343,0.026018223,0.13854927,1.0,0.6,0.23005982,-0.059911698
114,493,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,0.39148325,-5.4963536,-0.016718214,0.11159838,1.0,0.8,0.41760322,-0.26901555
115,494,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,11.547752,-3.1108649,-0.049623236,0.0849591,0.2,0.4,0.2518178,-0.107196316
116,495,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,7.2762895,-12.982305,0.03237443,0.0052421563,1.0,0.2,0.29442737,-0.39111352
117,496,read_subscription_status;write_database_record;check_service_status;escalate_case_to_human,4,Data Retrieval,Data & Access Management,-1.6788424,-4.677263,0.06723661,0.15496513,0.6,0.6,0.25928596,-0.27998483
153,532,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,1.583061,3.058242,-0.04908861,-0.048860293,0.4,1.0,0.12814717,0.36642644
154,533,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,3.880045,2.6083734,0.03003447,0.09323509,0.6,0.6,-0.014372038,0.034115564
155,534,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,2.5623195,4.3459773,-0.018103149,-0.07426853,0.6,1.0,0.22065847,0.27769437
156,535,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,4.4631133,4.194942,0.017534299,-0.017924981,0.8,1.0,0.18248436,0.33833894
157,536,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,4.8580437,4.2081647,0.021089775,-0.021501703,0.8,0.4,0.13067026,0.27276155
158,537,create_support_ticket;write_database_record;restart_service;route_task_by_condition;escalate_case_to_human,5,State Modification,Service & Incident Operations,2.9381402,3.96292,-0.004984772,0.021032158,0.8,1.0,0.14583461,0.2443076
159,538,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,1.4183426,-10.798572,-0.09232298,0.1408321,1.0,0.6,0.12611979,-0.12535107
160,539,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,4.2302337,-11.192537,-0.037986413,0.15359783,1.0,0.6,-0.008696004,-0.33627433
161,540,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,2.765506,-10.888057,-0.09135944,0.119922556,1.0,0.6,0.17866477,-0.25741217
162,541,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,2.3148673,-9.1277,-0.04825207,0.1283852,1.0,0.8,0.14586784,-0.338761
163,542,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,2.4379776,-8.626152,-0.15912767,0.09867139,0.8,0.6,0.12507017,-0.3686106
164,543,write_database_record;dispatch_message_to_usergroup;read_user_profile;read_database_record;read_subscription_status,5,Data Retrieval,Account & Subscription,2.392889,-11.206827,0.020846313,0.11958267,1.0,0.6,0.107721865,-0.24356541
165,544,check_service_status;edit_username;create_support_ticket;route_task_by_condition;read_subscription_status,5,Mixed,Service & Incident Operations,0.0076064873,3.8193138,0.06487034,0.058856823,0.8,0.8,0.26300833,0.3262023
166,545,check_service_status;edit_username;create_support_ticket;route_task_by_condition;read_subscription_status,5,Mixed,Service & Incident Operations,0.9488529,9.627154,0.036390733,0.09511244,0.6,0.6,0.21260017,0.1775208
167,546,check_service_status;edit_username;create_support_ticket;route_task_by_condition;read_subscription_status,5,Mixed,Service & Incident Operations,0.9646537,5.494061,0.035828978,0.041762717,0.8,0.8,0.18136697,0.122608304
168,547,check_service_status;edit_username;create_support_ticket;route_task_by_condition;read_subscription_status,5,Mixed,Service & Incident Operations,3.9896789,7.5129824,0.12040415,0.09375455,0.8,0.8,0.32697138,0.08377678
169,548,check_service_status;edit_username;create_support_ticket;route_task_by_condition;read_subscription_status,5,Mixed,Service & Incident Operations,5.6038733,8.138735,-0.014916955,0.0264839,0.6,0.6,0.22065927,-0.20250936
170,549,check_service_status;edit_username;create_support_ticket;route_task_by_condition;read_subscription_status,5,Mixed,Service & Incident Operations,1.5883299,6.2314343,0.04911757,0.06761646,0.8,0.8,0.29625478,0.16789198
177,556,reset_user_password;scan_system_for_malware;edit_username;create_support_ticket;route_task_by_condition,5,State Modification,Service & Incident Operations,-6.4414124,8.551081,0.030623656,0.07173398,0.8,0.8,-0.2839359,0.5837591
178,557,reset_user_password;scan_system_for_malware;edit_username;create_support_ticket;route_task_by_condition,5,State Modification,Service & Incident Operations,-8.1696205,9.519379,0.090680815,0.09999355,0.8,1.0,-0.4506922,0.42374888
179,558,reset_user_password;scan_system_for_malware;edit_username;create_support_ticket;route_task_by_condition,5,State Modification,Service & Incident Operations,-6.6429515,9.803168,0.0035980716,0.084492825,0.8,1.0,-0.26700568,0.4989414
180,559,reset_user_password;scan_system_for_malware;edit_username;create_support_ticket;route_task_by_condition,5,State Modification,Service & Incident Operations,-8.790958,8.218984,0.092409395,0.12569481,1.0,0.6,-0.36258382,0.46771178
181,560,reset_user_password;scan_system_for_malware;edit_username;create_support_ticket;route_task_by_condition,5,State Modification,Service & Incident Operations,-9.276188,7.962027,0.11244438,0.0919586,0.8,0.4,-0.41745797,0.2407308
182,561,reset_user_password;scan_system_for_malware;edit_username;create_support_ticket;route_task_by_condition,5,State Modification,Service & Incident Operations,-7.287499,9.776532,0.04452514,0.061144195,1.0,1.0,-0.33807912,0.47502092
183,562,scan_system_for_malware;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,-1.2603114,3.3690948,-0.05489912,0.008560708,0.6,0.4,0.24355659,0.20590661
184,563,scan_system_for_malware;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,-0.035078682,9.798181,0.05258511,0.039579708,0.6,0.6,0.15269414,0.1955508
185,564,scan_system_for_malware;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,-0.2597349,5.9826417,0.026826823,0.0805473,0.6,0.8,0.23272085,0.09060703
186,565,scan_system_for_malware;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,3.7682912,9.833797,0.108034216,0.04654515,0.8,0.6,0.10098557,0.112918936
187,566,scan_system_for_malware;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,4.2828403,10.004979,0.03993491,0.06561591,0.6,0.6,0.027987892,-0.09010535
188,567,scan_system_for_malware;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,-1.6112413,6.3645377,0.037975945,-0.002389348,1.0,1.0,0.31757948,0.083954595
195,574,scan_system_for_malware;read_database_record;create_support_ticket;reset_user_password;read_access_logs,5,Data Retrieval,Data & Access Management,-11.389187,-0.94129217,0.016946401,0.07746933,0.8,0.6,-0.2892907,0.27635565
196,575,scan_system_for_malware;read_database_record;create_support_ticket;reset_user_password;read_access_logs,5,Data Retrieval,Data & Access Management,-13.126206,-0.3323328,-0.04927539,0.07283551,0.8,0.8,-0.26093104,0.26843172
197,576,scan_system_for_malware;read_database_record;create_support_ticket;reset_user_password;read_access_logs,5,Data Retrieval,Data & Access Management,-12.630323,-1.4127223,0.022209773,0.06799977,1.0,0.8,-0.31669945,0.13927281
198,577,scan_system_for_malware;read_database_record;create_support_ticket;reset_user_password;read_access_logs,5,Data Retrieval,Data & Access Management,-12.185989,0.62447923,-0.025115168,0.021815354,1.0,0.8,-0.41726884,0.19183548
199,578,scan_system_for_malware;read_database_record;create_support_ticket;reset_user_password;read_access_logs,5,Data Retrieval,Data & Access Management,-12.108382,1.1671063,-0.0152326645,0.007861675,0.8,0.2,-0.3989935,-0.042808376
200,579,scan_system_for_malware;read_database_record;create_support_ticket;reset_user_password;read_access_logs,5,Data Retrieval,Data & Access Management,-12.075883,-1.9095483,0.012901533,0.14469083,0.6,0.6,-0.11864029,0.13809724
201,580,check_service_status;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,-0.8440406,3.3595095,-0.1071128,0.002341643,0.6,0.6,0.45082745,0.09233891
202,581,check_service_status;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,0.29827827,9.65326,0.024296617,0.041446228,0.8,0.8,0.345861,0.0635356
203,582,check_service_status;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,0.11227086,5.861039,-0.00139858,0.041979395,0.8,0.8,0.42618066,0.0075329416
204,583,check_service_status;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,3.8642855,7.7970586,0.09487003,0.029866593,1.0,1.0,0.440231,-0.040621098
205,584,check_service_status;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,5.261421,7.941877,-0.012544759,0.028972303,0.8,0.8,0.35649937,-0.2456339
206,585,check_service_status;route_task_by_condition;create_support_ticket;write_database_record;read_subscription_status,5,Mixed,Service & Incident Operations,-1.3105603,6.1896634,-0.02129071,-0.0081134075,0.8,0.8,0.49074462,-0.049459014
224,603,read_access_logs;read_subscription_status;read_user_profile;dispatch_message_to_usergroup;reset_user_password,5,Data Retrieval,Account & Subscription,-0.11165871,-13.759794,0.14290754,0.07750114,0.8,0.6,-0.04750403,0.11585679
225,604,read_access_logs;read_subscription_status;read_user_profile;dispatch_message_to_usergroup;reset_user_password,5,Data Retrieval,Account & Subscription,2.0652854,-16.10978,0.12896042,0.12118986,0.8,0.8,-0.20172209,-0.065739036
