gallery_index,dag_id,tools,num_nodes,action_label,semantic_label,tsne_x,tsne_y,action_silhouette,semantic_silhouette,action_knn_purity,semantic_knn_purity
0,379,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,3.185032,-4.2972865,-0.057787098,0.045705475,0.8,0.4
1,380,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,3.6452076,-13.368288,-0.06227611,0.024295727,0.4,0.2
2,381,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,-7.503483,7.058143,-0.054944377,0.018756146,0.4,0.4
3,382,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,-0.14254944,-5.9793625,-0.012950322,0.062101655,1.0,0.6
4,383,check_service_status;escalate_case_to_human;read_user_profile;update_subscription_plan,4,Data Retrieval,Account & Subscription,0.9353033,-4.4363203,-0.030754864,-0.037435386,1.0,1.0
5,384,read_access_logs;check_service_status;route_task_by_condition;write_database_record,4,Data Retrieval,Mixed,12.952781,10.206542,-0.1249603,0.00017198776,0.8,0.8
6,385,read_access_logs;check_service_status;route_task_by_condition;write_database_record,4,Data Retrieval,Mixed,11.612732,11.391963,-0.052804016,-0.04681659,1.0,1.0
7,386,read_access_logs;check_service_status;route_task_by_condition;write_database_record,4,Data Retrieval,Mixed,-5.653648,10.850958,-0.128142,-0.025051707,1.0,0.4
8,387,read_access_logs;check_service_status;route_task_by_condition;write_database_record,4,Data Retrieval,Mixed,11.875057,8.379835,-0.05726195,-0.030772995,1.0,0.8
9,388,read_access_logs;check_service_status;route_task_by_condition;write_database_record,4,Data Retrieval,Mixed,12.489543,9.403992,-0.043643866,-0.032602686,1.0,1.0
10,389,restart_service;read_database_record;update_subscription_plan;check_service_status,4,Mixed,Service & Incident Operations,-5.405444,15.337398,-0.025581947,-0.0007552122,1.0,1.0
11,390,restart_service;read_database_record;update_subscription_plan;check_service_status,4,Mixed,Service & Incident Operations,-18.772337,-3.0768406,-0.022877295,-0.013192169,1.0,0.8
12,391,restart_service;read_database_record;update_subscription_plan;check_service_status,4,Mixed,Service & Incident Operations,-3.2297606,14.600347,-0.0883549,-0.01716231,0.8,0.8
13,392,restart_service;read_database_record;update_subscription_plan;check_service_status,4,Mixed,Service & Incident Operations,-3.7928503,16.065624,-0.029665051,0.031096572,0.8,0.8
14,393,restart_service;read_database_record;update_subscription_plan;check_service_status,4,Mixed,Service & Incident Operations,-5.2785816,16.197756,0.01471456,0.016889356,0.6,0.6
15,394,write_database_record;create_support_ticket;read_subscription_status;scan_system_for_malware,4,Mixed,Service & Incident Operations,4.514122,1.298977,0.08011495,-0.0065055205,0.4,0.4
