condition,tool,precision,recall,f1,support
Confusable,db_read,0.4772727272727273,0.7,0.5675675675675675,30
Confusable,db_write,0.14285714285714285,0.23333333333333334,0.17721518987341772,30
Confusable,reset_password,0.7857142857142857,0.7333333333333333,0.7586206896551724,30
Confusable,create_ticket,0.4666666666666667,0.23333333333333334,0.3111111111111111,30
Confusable,send_notification,0.45,0.3,0.36,30
Confusable,quarantine_system,0.0,0.0,0.0,30
Confusable,scan_malware,0.46551724137931033,0.9,0.6136363636363636,30
Confusable,generate_report,0.0,0.0,0.0,30
Confusable,process_refund,0.0,0.0,0.0,30
Confusable,update_subscription,0.5,1.0,0.6666666666666666,30
Confusable,provision_vm,0.17777777777777778,0.26666666666666666,0.21333333333333335,30
Confusable,restart_service,0.3125,0.3333333333333333,0.3225806451612903,30
Confusable,check_status,1.0,0.23333333333333334,0.3783783783783784,30
Confusable,escalate_to_human,0.46875,1.0,0.6382978723404256,30
Confusable,log_audit_event,0.13333333333333333,0.06666666666666667,0.08888888888888889,30
