condition,tool,precision,recall,f1,support
Paraphrase,db_read,0.5714285714285714,0.45714285714285713,0.5079365079365079,70
Paraphrase,db_write,0.43703703703703706,0.6555555555555556,0.5244444444444445,90
Paraphrase,reset_password,0.9130434782608695,0.9882352941176471,0.9491525423728814,85
Paraphrase,create_ticket,0.5297619047619048,0.8090909090909091,0.6402877697841727,110
Paraphrase,send_notification,0.45161290322580644,0.28,0.345679012345679,100
Paraphrase,quarantine_system,0.10606060606060606,0.09333333333333334,0.09929078014184398,75
Paraphrase,scan_malware,0.851063829787234,0.5333333333333333,0.6557377049180327,75
Paraphrase,generate_report,0.32222222222222224,0.58,0.4142857142857143,50
Paraphrase,process_refund,0.0,0.0,0.0,85
Paraphrase,update_subscription,0.7317073170731707,1.0,0.8450704225352113,60
Paraphrase,provision_vm,0.3111111111111111,0.26666666666666666,0.28717948717948716,105
Paraphrase,restart_service,0.8169014084507042,0.7733333333333333,0.7945205479452054,75
Paraphrase,check_status,0.9545454545454546,0.3652173913043478,0.5283018867924528,115
Paraphrase,escalate_to_human,0.40437158469945356,0.925,0.5627376425855514,80
Paraphrase,log_audit_event,0.5625,0.45,0.5,80
