seed,condition,n,correct,accuracy,accuracy_pct,recall@1,recall@3,recall@5,mrr@5,macro_f1
42,Standard,1005,751,0.7472636815920398,74.72636815920399,0.7472636815920398,0.9174129353233831,0.9641791044776119,0.8338474295190713,0.7414717087736882
42,Lexical,1005,494,0.49154228855721394,49.15422885572139,0.49154228855721394,0.7840796019900498,0.8885572139303483,0.6455223880597015,0.47757543807532166
42,Confusable,450,293,0.6511111111111111,65.11111111111111,0.6511111111111111,0.9088888888888889,0.9866666666666667,0.7835925925925926,0.6376408585271347
42,Paraphrase,1255,911,0.7258964143426295,72.58964143426296,0.7258964143426295,0.9035856573705179,0.951394422310757,0.8167596281540505,0.7267405838577525
123,Standard,1005,753,0.7492537313432835,74.92537313432835,0.7492537313432835,0.9164179104477612,0.9572139303482587,0.8353897180762851,0.7435063142777566
123,Lexical,1005,494,0.49154228855721394,49.15422885572139,0.49154228855721394,0.7542288557213931,0.8786069651741294,0.6360862354892205,0.4749473005635645
123,Confusable,450,265,0.5888888888888889,58.88888888888889,0.5888888888888889,0.9422222222222222,0.9888888888888889,0.7631851851851852,0.5575211515562456
123,Paraphrase,1255,926,0.7378486055776893,73.78486055776892,0.7378486055776893,0.8948207171314742,0.9529880478087649,0.8217662682602921,0.7388094403985215
2026,Standard,1005,761,0.7572139303482587,75.72139303482587,0.7572139303482587,0.9124378109452737,0.9562189054726368,0.8395522388059702,0.7527104073450109
2026,Lexical,1005,481,0.4786069651741294,47.86069651741294,0.4786069651741294,0.7592039800995025,0.8766169154228856,0.6288557213930347,0.46312440078880646
2026,Confusable,450,273,0.6066666666666667,60.66666666666667,0.6066666666666667,0.94,0.9888888888888889,0.7742592592592592,0.5764444628996128
2026,Paraphrase,1255,930,0.7410358565737052,74.10358565737052,0.7410358565737052,0.8860557768924303,0.9426294820717132,0.8198539176626825,0.741302545393786
