tool,precision,recall,f1,support
db_read,0.6944444444444444,0.8333333333333334,0.7575757575757576,30
db_write,0.6285714285714286,0.7333333333333333,0.676923076923077,30
reset_password,0.7,0.9333333333333333,0.8,30
create_ticket,0.8571428571428571,0.2,0.32432432432432434,30
send_notification,0.42105263157894735,0.26666666666666666,0.32653061224489793,30
quarantine_system,0.6,0.1,0.17142857142857143,30
scan_malware,0.4583333333333333,0.7333333333333333,0.5641025641025641,30
generate_report,0.6818181818181818,1.0,0.8108108108108109,30
process_refund,0.5161290322580645,0.5333333333333333,0.5245901639344263,30
update_subscription,0.6944444444444444,0.8333333333333334,0.7575757575757576,30
provision_vm,0.5833333333333334,0.4666666666666667,0.5185185185185185,30
restart_service,0.38461538461538464,0.3333333333333333,0.35714285714285715,30
check_status,0.8461538461538461,0.36666666666666664,0.5116279069767442,30
escalate_to_human,0.7297297297297297,0.9,0.8059701492537313,30
log_audit_event,0.3673469387755102,0.6,0.45569620253164556,30
