tool,precision,recall,f1,support
db_read,0.5111111111111111,0.34328358208955223,0.4107142857142857,67
db_write,0.65,0.582089552238806,0.6141732283464567,67
reset_password,0.6,0.7164179104477612,0.6530612244897959,67
create_ticket,0.3508771929824561,0.29850746268656714,0.3225806451612903,67
send_notification,0.5925925925925926,0.23880597014925373,0.3404255319148936,67
quarantine_system,0.4166666666666667,0.373134328358209,0.3937007874015748,67
scan_malware,0.6285714285714286,0.3283582089552239,0.43137254901960786,67
generate_report,0.44761904761904764,0.7014925373134329,0.5465116279069767,67
process_refund,0.3560606060606061,0.7014925373134329,0.4723618090452261,67
update_subscription,0.8636363636363636,0.5671641791044776,0.6846846846846847,67
provision_vm,0.45569620253164556,0.5373134328358209,0.4931506849315068,67
restart_service,0.5714285714285714,0.23880597014925373,0.3368421052631579,67
check_status,0.39285714285714285,0.16417910447761194,0.23157894736842105,67
escalate_to_human,0.57,0.8507462686567164,0.6826347305389222,67
log_audit_event,0.392,0.7313432835820896,0.5104166666666666,67
