tool,precision,recall,f1,support
db_read,0.7727272727272727,0.7285714285714285,0.75,70
db_write,0.7425742574257426,0.8333333333333334,0.7853403141361257,90
reset_password,0.9770114942528736,1.0,0.9883720930232558,85
create_ticket,0.8117647058823529,0.6272727272727273,0.7076923076923077,110
send_notification,0.8805970149253731,0.59,0.7065868263473054,100
quarantine_system,0.5,0.30666666666666664,0.38016528925619836,75
scan_malware,0.9166666666666666,0.5866666666666667,0.7154471544715447,75
generate_report,0.5121951219512195,0.84,0.6363636363636364,50
process_refund,0.652542372881356,0.9058823529411765,0.7586206896551724,85
update_subscription,0.967741935483871,1.0,0.9836065573770492,60
provision_vm,0.639344262295082,0.7428571428571429,0.6872246696035242,105
restart_service,0.9491525423728814,0.7466666666666667,0.835820895522388,75
check_status,0.8452380952380952,0.6173913043478261,0.7135678391959799,115
escalate_to_human,0.7954545454545454,0.875,0.8333333333333334,80
log_audit_event,0.4714285714285714,0.825,0.6,80
