tool,precision,recall,f1,support
db_read,0.8548387096774194,0.7910447761194029,0.8217054263565892,67
db_write,0.7023809523809523,0.8805970149253731,0.7814569536423841,67
reset_password,0.8589743589743589,1.0,0.9241379310344827,67
create_ticket,0.7111111111111111,0.47761194029850745,0.5714285714285714,67
send_notification,0.6964285714285714,0.582089552238806,0.6341463414634146,67
quarantine_system,0.8571428571428571,0.44776119402985076,0.5882352941176471,67
scan_malware,0.7536231884057971,0.7761194029850746,0.7647058823529411,67
generate_report,0.6506024096385542,0.8059701492537313,0.72,67
process_refund,0.7654320987654321,0.9253731343283582,0.8378378378378378,67
update_subscription,0.9305555555555556,1.0,0.9640287769784173,67
provision_vm,0.6756756756756757,0.746268656716418,0.7092198581560284,67
restart_service,0.8225806451612904,0.7611940298507462,0.7906976744186046,67
check_status,0.8888888888888888,0.47761194029850745,0.6213592233009708,67
escalate_to_human,0.8333333333333334,0.746268656716418,0.7874015748031497,67
log_audit_event,0.49074074074074076,0.7910447761194029,0.6057142857142858,67
