model_id,stage,condition,n,correct,accuracy,accuracy_pct,recall@1,recall@3,recall@5,mrr@5,macro_f1
v3_no_ged_15t,frozen,Standard,1005,527,0.5243781094527363,52.43781094527363,0.5243781094527363,0.7333333333333333,0.8696517412935323,0.6462686567164179,0.495250564828018
v3_no_ged_15t,frozen,Lexical,1005,288,0.2865671641791045,28.65671641791045,0.2865671641791045,0.5014925373134328,0.6467661691542289,0.41290215588723056,0.2606398799363923
v3_no_ged_15t,frozen,Confusable,450,181,0.4022222222222222,40.22222222222222,0.4022222222222222,0.6644444444444444,0.8266666666666667,0.5478148148148149,0.3375396852368372
v3_no_ged_15t,frozen,Paraphrase,1255,643,0.5123505976095617,51.23505976095617,0.5123505976095617,0.6948207171314741,0.8350597609561753,0.6237715803452855,0.49324048021399614
v3_no_ged_15t,adapted,Standard,1005,593,0.5900497512437811,59.00497512437811,0.5900497512437811,0.7661691542288557,0.8626865671641791,0.6881094527363184,0.5787052807352125
v3_no_ged_15t,adapted,Lexical,1005,291,0.28955223880597014,28.955223880597014,0.28955223880597014,0.5293532338308458,0.6547263681592039,0.42386401326699835,0.2472195668220237
v3_no_ged_15t,adapted,Confusable,450,210,0.4666666666666667,46.666666666666664,0.4666666666666667,0.7,0.8133333333333334,0.5934074074074075,0.404065966684473
v3_no_ged_15t,adapted,Paraphrase,1255,675,0.5378486055776892,53.78486055776892,0.5378486055776892,0.7322709163346613,0.8262948207171315,0.6455245683930942,0.550419974900016
v3_ged_15t,frozen,Standard,1005,534,0.5313432835820896,53.13432835820896,0.5313432835820896,0.7522388059701492,0.8656716417910447,0.6523548922056385,0.5020090061880581
v3_ged_15t,frozen,Lexical,1005,275,0.2736318407960199,27.363184079601986,0.2736318407960199,0.5184079601990049,0.6358208955223881,0.4039635157545605,0.24872395122380214
v3_ged_15t,frozen,Confusable,450,180,0.4,40.0,0.4,0.7066666666666667,0.8377777777777777,0.5622962962962963,0.33975311377417433
v3_ged_15t,frozen,Paraphrase,1255,666,0.5306772908366534,53.06772908366534,0.5306772908366534,0.7099601593625497,0.8254980079681274,0.6356972111553785,0.5103082975511455
v3_ged_15t,adapted,Standard,1005,536,0.5333333333333333,53.333333333333336,0.5333333333333333,0.7134328358208956,0.8378109452736319,0.6429353233830847,0.4963345490347866
v3_ged_15t,adapted,Lexical,1005,259,0.25771144278606967,25.771144278606968,0.25771144278606967,0.4746268656716418,0.6208955223880597,0.38543946932006634,0.214769041248444
v3_ged_15t,adapted,Confusable,450,184,0.4088888888888889,40.88888888888889,0.4088888888888889,0.6733333333333333,0.7888888888888889,0.5481481481481482,0.34977265338391983
v3_ged_15t,adapted,Paraphrase,1255,667,0.5314741035856574,53.147410358565736,0.5314741035856574,0.6828685258964143,0.7840637450199203,0.6195086321381142,0.49589301827042076
