tool,precision,recall,f1,support
db_read,1.0,0.1,0.18181818181818182,30
db_write,0.08928571428571429,0.16666666666666666,0.11627906976744186,30
reset_password,0.7407407407407407,0.6666666666666666,0.7017543859649122,30
create_ticket,0.5625,0.3,0.391304347826087,30
send_notification,0.5,0.5666666666666667,0.53125,30
quarantine_system,0.0,0.0,0.0,30
scan_malware,0.42592592592592593,0.7666666666666667,0.5476190476190477,30
generate_report,0.26666666666666666,0.4,0.32,30
process_refund,0.0,0.0,0.0,30
update_subscription,0.4915254237288136,0.9666666666666667,0.651685393258427,30
provision_vm,0.3333333333333333,0.7,0.45161290322580644,30
restart_service,0.5263157894736842,0.3333333333333333,0.40816326530612246,30
check_status,1.0,0.1,0.18181818181818182,30
escalate_to_human,0.4838709677419355,1.0,0.6521739130434783,30
log_audit_event,0.3333333333333333,0.06666666666666667,0.1111111111111111,30
