tool,precision,recall,f1,support
db_read,0.8,0.05970149253731343,0.1111111111111111,67
db_write,0.1206896551724138,0.1044776119402985,0.112,67
reset_password,0.6,0.6716417910447762,0.6338028169014085,67
create_ticket,0.18018018018018017,0.29850746268656714,0.2247191011235955,67
send_notification,0.1523809523809524,0.23880597014925373,0.18604651162790697,67
quarantine_system,0.16666666666666666,0.04477611940298507,0.07058823529411765,67
scan_malware,0.6666666666666666,0.14925373134328357,0.24390243902439024,67
generate_report,0.14356435643564355,0.43283582089552236,0.21561338289962825,67
process_refund,0.0967741935483871,0.04477611940298507,0.061224489795918366,67
update_subscription,0.5692307692307692,0.5522388059701493,0.5606060606060606,67
provision_vm,0.10569105691056911,0.19402985074626866,0.1368421052631579,67
restart_service,0.625,0.07462686567164178,0.13333333333333333,67
check_status,0.0,0.0,0.0,67
escalate_to_human,0.3621621621621622,1.0,0.5317460317460317,67
log_audit_event,0.0,0.0,0.0,67
