tool,precision,recall,f1,support
db_read,1.0,0.1,0.18181818181818182,70
db_write,0.45161290322580644,0.7777777777777778,0.5714285714285714,90
reset_password,0.9438202247191011,0.9882352941176471,0.9655172413793104,85
create_ticket,0.5833333333333334,0.8272727272727273,0.6842105263157895,110
send_notification,0.39375,0.63,0.4846153846153846,100
quarantine_system,0.0,0.0,0.0,75
scan_malware,1.0,0.4533333333333333,0.6238532110091743,75
generate_report,0.19895287958115182,0.76,0.3153526970954357,50
process_refund,1.0,0.18823529411764706,0.31683168316831684,85
update_subscription,0.9230769230769231,1.0,0.96,60
provision_vm,0.4444444444444444,0.6095238095238096,0.5140562248995983,105
restart_service,0.9818181818181818,0.72,0.8307692307692308,75
check_status,1.0,0.043478260869565216,0.08333333333333333,115
escalate_to_human,0.48201438848920863,0.8375,0.6118721461187214,80
log_audit_event,0.9333333333333333,0.175,0.29473684210526313,80
