tool,precision,recall,f1,support
db_read,1.0,0.16417910447761194,0.28205128205128205,67
db_write,0.48672566371681414,0.8208955223880597,0.6111111111111112,67
reset_password,0.9436619718309859,1.0,0.9710144927536232,67
create_ticket,0.4777777777777778,0.6417910447761194,0.5477707006369427,67
send_notification,0.3333333333333333,0.5671641791044776,0.4198895027624309,67
quarantine_system,0.11764705882352941,0.029850746268656716,0.047619047619047616,67
scan_malware,0.9545454545454546,0.6268656716417911,0.7567567567567568,67
generate_report,0.3515625,0.6716417910447762,0.46153846153846156,67
process_refund,0.6923076923076923,0.13432835820895522,0.225,67
update_subscription,0.8170731707317073,1.0,0.8993288590604027,67
provision_vm,0.2907801418439716,0.6119402985074627,0.3942307692307692,67
restart_service,0.9787234042553191,0.6865671641791045,0.8070175438596491,67
check_status,0.0,0.0,0.0,67
escalate_to_human,0.4444444444444444,0.7164179104477612,0.5485714285714286,67
log_audit_event,0.8461538461538461,0.3283582089552239,0.4731182795698925,67
