tool,precision,recall,f1,support
db_read,0.6956521739130435,0.5333333333333333,0.6037735849056604,30
db_write,0.22727272727272727,0.16666666666666666,0.19230769230769232,30
reset_password,0.8108108108108109,1.0,0.8955223880597015,30
create_ticket,0.4166666666666667,0.16666666666666666,0.23809523809523808,30
send_notification,0.55,0.36666666666666664,0.44,30
quarantine_system,0.8333333333333334,0.16666666666666666,0.2777777777777778,30
scan_malware,0.48,0.8,0.6,30
generate_report,0.3176470588235294,0.9,0.46956521739130436,30
process_refund,0.0,0.0,0.0,30
update_subscription,0.4406779661016949,0.8666666666666667,0.5842696629213483,30
provision_vm,0.4666666666666667,0.7,0.56,30
restart_service,0.5,0.26666666666666666,0.34782608695652173,30
check_status,0.0,0.0,0.0,30
escalate_to_human,0.5882352941176471,1.0,0.7407407407407407,30
log_audit_event,0.3333333333333333,0.06666666666666667,0.1111111111111111,30
