tool,precision,recall,f1,support
db_read,0.4375,0.1044776119402985,0.1686746987951807,67
db_write,0.19047619047619047,0.11940298507462686,0.14678899082568808,67
reset_password,0.5714285714285714,0.7164179104477612,0.6357615894039735,67
create_ticket,0.20833333333333334,0.14925373134328357,0.17391304347826086,67
send_notification,0.48,0.1791044776119403,0.2608695652173913,67
quarantine_system,0.28205128205128205,0.16417910447761194,0.20754716981132076,67
scan_malware,0.64,0.23880597014925373,0.34782608695652173,67
generate_report,0.14857142857142858,0.7761194029850746,0.24940047961630696,67
process_refund,0.17647058823529413,0.08955223880597014,0.1188118811881188,67
update_subscription,0.5076923076923077,0.4925373134328358,0.5,67
provision_vm,0.18085106382978725,0.2537313432835821,0.2111801242236025,67
restart_service,0.5714285714285714,0.05970149253731343,0.10810810810810811,67
check_status,1.0,0.014925373134328358,0.029411764705882353,67
escalate_to_human,0.3815028901734104,0.9850746268656716,0.55,67
log_audit_event,0.0,0.0,0.0,67
