tool,precision,recall,f1,support
db_read,0.6176470588235294,0.3,0.40384615384615385,70
db_write,0.6421052631578947,0.6777777777777778,0.6594594594594595,90
reset_password,0.9239130434782609,1.0,0.96045197740113,85
create_ticket,0.7938144329896907,0.7,0.7439613526570048,110
send_notification,0.9545454545454546,0.42,0.5833333333333334,100
quarantine_system,0.13157894736842105,0.06666666666666667,0.08849557522123894,75
scan_malware,0.9459459459459459,0.4666666666666667,0.625,75
generate_report,0.1347708894878706,1.0,0.2375296912114014,50
process_refund,0.925,0.43529411764705883,0.592,85
update_subscription,0.8955223880597015,1.0,0.9448818897637795,60
provision_vm,0.45081967213114754,0.5238095238095238,0.4845814977973568,105
restart_service,1.0,0.68,0.8095238095238095,75
check_status,1.0,0.02608695652173913,0.05084745762711865,115
escalate_to_human,0.5223880597014925,0.875,0.6542056074766355,80
log_audit_event,0.7666666666666667,0.2875,0.41818181818181815,80
