experiment,upgraded_recall@1,upgraded_v3_recall@1,abs_diff_recall@1,upgraded_recall@3,upgraded_v3_recall@3,abs_diff_recall@3,upgraded_recall@5,upgraded_v3_recall@5,abs_diff_recall@5,upgraded_mrr@5,upgraded_v3_mrr@5,abs_diff_mrr@5,upgraded_tool_set_f1,upgraded_v3_tool_set_f1,abs_diff_tool_set_f1,upgraded_mean_ged_error,upgraded_v3_mean_ged_error,abs_diff_mean_ged_error
SBERT_FT_GED0,0.9216867469879518,0.9272727272727272,0.005585980284775416,1.0,0.9945454545454545,-0.00545454545454549,1.0,0.9981818181818182,-0.0018181818181818299,0.9603413654618473,0.9615151515151513,0.0011737860533039823,0.9720548862115129,0.9653535353535352,-0.006701350857977739,0.20783132530120482,0.15636363636363637,-0.05146768893756845
SBERT_FT_GED030,0.9216867469879518,0.9272727272727272,0.005585980284775416,1.0,0.9945454545454545,-0.00545454545454549,1.0,0.9981818181818182,-0.0018181818181818299,0.9603413654618473,0.9615151515151513,0.0011737860533039823,0.9720548862115129,0.9653535353535352,-0.006701350857977739,0.20783132530120482,0.15636363636363637,-0.05146768893756845
SBERT_FT_TIED,0.9457831325301205,0.9363636363636364,-0.009419496166484076,0.9969879518072289,0.9927272727272727,-0.004260679079956198,1.0,0.9981818181818182,-0.0018181818181818299,0.9721385542168675,0.9636969696969694,-0.008441584519898071,0.9809906291834002,0.9595415190869738,-0.02144911009642636,0.18072289156626506,0.1509090909090909,-0.02981380065717415
LEGR_ACTION_LATENT,,,,,,,,,,,,,,,,,,
LEGR_15TOOL_ZERO_SHOT_ATOMIC,,,,,,,,,,,,,,,,,,
LEGR_30TOOL_ZERO_SHOT_ATOMIC,,,,,,,,,,,,,,,,,,
DIRGNN_DIRECTED,0.6746987951807228,0.7509090909090909,0.07621029572836802,0.8825301204819277,0.9163636363636364,0.03383351588170869,0.963855421686747,0.9727272727272728,0.008871851040525791,0.7847891566265063,0.8398787878787876,0.05508963125228128,0.8080034423407918,0.8682987012987012,0.06029525895790944,1.069277108433735,0.8981818181818182,-0.17109529025191672
DIRGNN_TIED_IN_OUT,0.7891566265060241,0.8254545454545454,0.0362979189485213,0.9849397590361446,0.9618181818181818,-0.02312157721796282,0.9969879518072289,0.990909090909091,-0.006078860898137917,0.8787148594377511,0.8912121212121209,0.012497261774369828,0.8989218779881432,0.9072554112554113,0.008333533267268156,0.5963855421686747,0.6290909090909091,0.03270536692223447
LEGR_DEFAULT_GCN_30,0.8524096385542169,0.9181818181818182,0.06577217962760129,0.9759036144578314,0.9836363636363636,0.007732749178532283,0.9909638554216867,0.9963636363636363,0.005399780941949595,0.9085843373493977,0.9511818181818184,0.04259748083242065,0.9057013769363166,0.957256854256854,0.051555477320537446,0.49096385542168675,0.2109090909090909,-0.2800547645125958
LEGR_DEFAULT_GCN_15,0.956081081081081,0.9674355495251018,0.011354468444020771,1.0,1.0,0.0,1.0,1.0,0.0,0.9780405405405406,0.983491632745364,0.005451092204823427,0.9937258687258688,0.9888943711196087,-0.004831497606260116,0.13175675675675674,0.1791044776119403,0.047347720855183545
