lambda_ged,ged_scale,ged_margin,train_ok,eval_ok,error,checkpoint_dir,eval_csv,mean_ged_error,mrr@1,mrr@3,mrr@5,recall@1,recall@3,recall@5,tool_set_f1
0.1,0.0,0.05,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t002_lg0p1_gs0p0_gm0p05,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t002_lg0p1_gs0p0_gm0p05.csv,0.3020833333333333,0.9375,0.9557291666666666,0.9557291666666666,0.9375,0.9739583333333334,0.9739583333333334,0.9708333333333333
0.1,0.0,0.2,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t005_lg0p1_gs0p0_gm0p2,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t005_lg0p1_gs0p0_gm0p2.csv,0.3333333333333333,0.9322916666666666,0.9522569444444445,0.9522569444444445,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.1,0.0,0.3,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t007_lg0p1_gs0p0_gm0p3,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t007_lg0p1_gs0p0_gm0p3.csv,0.3072916666666667,0.9375,0.9548611111111112,0.9548611111111112,0.9375,0.9739583333333334,0.9739583333333334,0.9699074074074074
0.1,0.5,0.25,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t013_lg0p1_gs0p5_gm0p25,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t013_lg0p1_gs0p5_gm0p25.csv,0.3020833333333333,0.9375,0.9557291666666666,0.9557291666666666,0.9375,0.9739583333333334,0.9739583333333334,0.9708333333333333
0.1,0.5,0.3,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t014_lg0p1_gs0p5_gm0p3,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t014_lg0p1_gs0p5_gm0p3.csv,0.3072916666666667,0.9375,0.953125,0.9544270833333334,0.9375,0.96875,0.9739583333333334,0.9699074074074074
0.1,1.0,0.15,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t018_lg0p1_gs1p0_gm0p15,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t018_lg0p1_gs1p0_gm0p15.csv,0.3072916666666667,0.9375,0.9548611111111112,0.9548611111111112,0.9375,0.9739583333333334,0.9739583333333334,0.9699074074074074
0.1,1.5,0.1,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t024_lg0p1_gs1p5_gm0p1,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t024_lg0p1_gs1p5_gm0p1.csv,0.3333333333333333,0.9322916666666666,0.9522569444444445,0.9522569444444445,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
0.1,1.5,0.3,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t028_lg0p1_gs1p5_gm0p3,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t028_lg0p1_gs1p5_gm0p3.csv,0.3072916666666667,0.9375,0.9548611111111112,0.9548611111111112,0.9375,0.9739583333333334,0.9739583333333334,0.9699074074074074
0.1,2.0,0.0,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t029_lg0p1_gs2p0_gm0p0,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t029_lg0p1_gs2p0_gm0p0.csv,0.3020833333333333,0.9375,0.953125,0.9544270833333334,0.9375,0.96875,0.9739583333333334,0.9708333333333333
0.1,2.5,0.25,True,True,,C:\Users\kadam\Agentic Tool-Bound Taxonomies\sweep_checkpoints\t041_lg0p1_gs2p5_gm0p25,C:\Users\kadam\Agentic Tool-Bound Taxonomies\results\hp_sweep_eval_20260328_141804_t041_lg0p1_gs2p5_gm0p25.csv,0.3333333333333333,0.9322916666666666,0.9522569444444445,0.9522569444444445,0.9322916666666666,0.9739583333333334,0.9739583333333334,0.9695312500000001
