version,tier,file,rows,unique_queries,unique_phrasings,redundant_pct,toolname_leaks
upgraded_v3,15,dev,587,587,587,0.0,0
v1,15,dev,564,564,417,26.1,0
upgraded_v3,15,test_topology_heldout,737,737,737,0.0,0
v1,15,test_topology_heldout,592,592,429,27.5,0
upgraded_v3,15,train,2922,2922,2922,0.0,0
v1,15,train,2814,2814,2010,28.6,0
upgraded_v3,30,dev,403,403,403,0.0,0
v1,30,dev,332,313,137,58.7,15
upgraded_v3,30,test_topology_heldout,550,550,550,0.0,0
v1,30,test_topology_heldout,332,322,137,58.7,7
upgraded_v3,30,train,1692,1692,1692,0.0,0
v1,30,train,1396,1331,601,56.9,49
upgraded_v3,45,dev,585,585,585,0.0,0
v1,45,dev,450,450,450,0.0,22
upgraded_v3,45,test_topology_heldout,1325,1325,1325,0.0,0
v1,45,test_topology_heldout,1100,1100,1056,4.0,76
upgraded_v3,45,train,4316,4316,4316,0.0,0
v1,45,train,3870,3870,2848,26.4,203
